csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
6,241,0.2587307393550873,,,,,
6,242,0.23452457785606384,,,,,
6,243,0.23450785875320435,,,,,
6,244,0.26061171293258667,,,,,
6,245,0.27723008394241333,,,,,
6,246,0.2456977367401123,,,,,
6,247,0.23714792728424072,,,,,
6,248,0.23818211257457733,,,,,
6,249,0.24853114783763885,,,,,
6,250,0.25636976957321167,,,,,
6,251,0.25757741928100586,,,,,
6,252,0.24487492442131042,,,,,
6,253,0.2551763951778412,,,,,
6,254,0.25823691487312317,,,,,
6,255,0.23211808502674103,,,,,
6,256,0.25608325004577637,,,,,
6,257,0.2579125165939331,,,,,
6,258,0.26140743494033813,,,,,
6,259,0.2696227729320526,,,,,
6,260,0.24654608964920044,,,,,
6,261,0.25480642914772034,,,,,
6,262,0.2674506604671478,,,,,
6,263,0.2571170926094055,,,,,
6,264,0.2492757886648178,,,,,
6,265,0.25249895453453064,,,,,
6,266,0.23556850850582123,,,,,
6,267,0.25628167390823364,,,,,
6,268,0.2473893165588379,,,,,
6,269,0.25800997018814087,,,,,
6,270,0.25959938764572144,,,,,
6,271,0.2668721675872803,,,,,
6,272,0.24679340422153473,,,,,
6,273,0.22817659378051758,,,,,
6,274,0.23556332290172577,,,,,
6,275,0.22806082665920258,,,,,
6,276,0.23897051811218262,,,,,
6,277,0.23372815549373627,,,,,
6,278,0.24609819054603577,,,,,
6,279,0.23488231003284454,,,,,
,30,,0.22743192315101624,,,,
,31,,0.22442923486232758,,,,
,32,,0.22725415229797363,,,,
,33,,0.23077702522277832,,,,
,34,,0.21839159727096558,,,,
6,279,,,0.22565679252147675,,,
6,279,,,,0.24973651766777039,1.0,0.140625
7,280,0.261696994304657,,,,,
7,281,0.24189697206020355,,,,,
7,282,0.23127737641334534,,,,,
7,283,0.2337425798177719,,,,,
7,284,0.2517169117927551,,,,,
7,285,0.2281494140625,,,,,
7,286,0.2479088455438614,,,,,
7,287,0.23632031679153442,,,,,
7,288,0.25279703736305237,,,,,
7,289,0.24259012937545776,,,,,
7,290,0.24814172089099884,,,,,
7,291,0.2558513879776001,,,,,
7,292,0.24194009602069855,,,,,
7,293,0.2291276454925537,,,,,
7,294,0.25440800189971924,,,,,
7,295,0.251470148563385,,,,,
7,296,0.2392435520887375,,,,,
7,297,0.2101505845785141,,,,,
7,298,0.2491774708032608,,,,,
7,299,0.25134095549583435,,,,,
7,300,0.2539839744567871,,,,,
7,301,0.258575439453125,,,,,
7,302,0.23778501152992249,,,,,
7,303,0.2467140108346939,,,,,
7,304,0.23469316959381104,,,,,
7,305,0.2470458745956421,,,,,
7,306,0.2362661361694336,,,,,
7,307,0.23240487277507782,,,,,
7,308,0.2485056072473526,,,,,
7,309,0.24064263701438904,,,,,
7,310,0.2354818880558014,,,,,
7,311,0.2455713003873825,,,,,
7,312,0.23483866453170776,,,,,
7,313,0.24019533395767212,,,,,
7,314,0.27487704157829285,,,,,
7,315,0.2545227110385895,,,,,
7,316,0.24794581532478333,,,,,
7,317,0.2340567708015442,,,,,
7,318,0.24142828583717346,,,,,
7,319,0.24848458170890808,,,,,
,35,,0.22558149695396423,,,,
,36,,0.22376592457294464,,,,
,37,,0.22693367302417755,,,,
,38,,0.23029230535030365,,,,
,39,,0.21743927896022797,,,,
7,319,,,0.22480253875255585,,,
7,319,,,,0.24382416903972626,1.0,0.11874999850988388
8,320,0.26062828302383423,,,,,
8,321,0.22143661975860596,,,,,
8,322,0.25048187375068665,,,,,
8,323,0.24837835133075714,,,,,
8,324,0.23557962477207184,,,,,
8,325,0.25134479999542236,,,,,
