csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-accuracy/exact,csv-train_loss_epoch
0.1563975065946579,47,191,,,,,
,,47,0.12647739052772522,,,,
,47,191,,0.12647739052772522,,,
,47,191,,,0.8500000238418579,0.6000000238418579,0.18130727112293243
0.18146327137947083,48,192,,,,,
0.21714672446250916,48,193,,,,,
0.22091253101825714,48,194,,,,,
0.1529281884431839,48,195,,,,,
,,48,0.1260526329278946,,,,
,48,195,,0.1260526329278946,,,
,48,195,,,0.800000011920929,0.6000000238418579,0.19311268627643585
0.14524497091770172,49,196,,,,,
0.1731647402048111,49,197,,,,,
0.12840673327445984,49,198,,,,,
0.19044820964336395,49,199,,,,,
,,49,0.12909506261348724,,,,
,49,199,,0.12909506261348724,,,
,49,199,,,0.800000011920929,0.550000011920929,0.15931616723537445
0.16499166190624237,50,200,,,,,
0.1634741723537445,50,201,,,,,
0.15303824841976166,50,202,,,,,
0.19009262323379517,50,203,,,,,
,,50,0.1208309754729271,,,,
,50,203,,0.1208309754729271,,,
,50,203,,,0.800000011920929,0.550000011920929,0.16789917647838593
0.1931670755147934,51,204,,,,,
0.15614287555217743,51,205,,,,,
0.14337611198425293,51,206,,,,,
0.20071643590927124,51,207,,,,,
,,51,0.11677621304988861,,,,
,51,207,,0.11677621304988861,,,
,51,207,,,0.949999988079071,0.6500000357627869,0.17335063219070435
0.1985836774110794,52,208,,,,,
0.12340865284204483,52,209,,,,,
0.16801266372203827,52,210,,,,,
0.15628327429294586,52,211,,,,,
,,52,0.12072877585887909,,,,
,52,211,,0.12072877585887909,,,
,52,211,,,0.800000011920929,0.6000000238418579,0.16157205402851105
0.18874245882034302,53,212,,,,,
0.12804295122623444,53,213,,,,,
0.15632615983486176,53,214,,,,,
0.13805294036865234,53,215,,,,,
,,53,0.12172336131334305,,,,
,53,215,,0.12172336131334305,,,
,53,215,,,0.8500000238418579,0.6000000238418579,0.1527911275625229
0.14759641885757446,54,216,,,,,
0.12405499070882797,54,217,,,,,
0.1512160301208496,54,218,,,,,
0.154692605137825,54,219,,,,,
,,54,0.12117096036672592,,,,
,54,219,,0.12117096036672592,,,
,54,219,,,0.8500000238418579,0.6000000238418579,0.14439000189304352
0.12052694708108902,55,220,,,,,
0.137528195977211,55,221,,,,,
0.17940443754196167,55,222,,,,,
0.13336007297039032,55,223,,,,,
,,55,0.12860460579395294,,,,
,55,223,,0.12860460579395294,,,
,55,223,,,0.8500000238418579,0.6000000238418579,0.14270491898059845
