csv-train_loss_step,step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/micro,csv-accuracy/none,csv-train_loss_epoch
,37,18,,,0.0625,0.0,1.0449965000152588
1.057045578956604,38,19,,,,,
1.0064197778701782,39,19,,,,,
,19,,0.6591066718101501,,,,
,39,19,,0.6591066718101501,,,
,39,19,,,0.0625,0.0,1.0317327976226807
1.014831781387329,40,20,,,,,
1.0121448040008545,41,20,,,,,
,20,,0.6257686614990234,,,,
,41,20,,0.6257686614990234,,,
,41,20,,,0.0625,0.0625,1.0134882926940918
0.965106725692749,42,21,,,,,
0.9656912088394165,43,21,,,,,
,21,,0.5906064510345459,,,,
,43,21,,0.5906064510345459,,,
,43,21,,,0.0625,0.0,0.9653989672660828
0.9373651742935181,44,22,,,,,
0.938073992729187,45,22,,,,,
,22,,0.5567679405212402,,,,
,45,22,,0.5567679405212402,,,
,45,22,,,0.0625,0.0625,0.9377196431159973
0.9328483939170837,46,23,,,,,
0.9287078380584717,47,23,,,,,
,23,,0.5354627370834351,,,,
,47,23,,0.5354627370834351,,,
,47,23,,,0.0625,0.0625,0.9307781457901001
0.9207565188407898,48,24,,,,,
0.9290343523025513,49,24,,,,,
,24,,0.5186094641685486,,,,
,49,24,,0.5186094641685486,,,
,49,24,,,0.0625,0.0,0.9248954653739929
0.889510452747345,50,25,,,,,
0.8596714735031128,51,25,,,,,
,25,,0.49985384941101074,,,,
,51,25,,0.49985384941101074,,,
,51,25,,,0.0,0.0,0.874591052532196
0.8622984886169434,52,26,,,,,
0.8399510383605957,53,26,,,,,
,26,,0.4748491942882538,,,,
,53,26,,0.4748491942882538,,,
,53,26,,,0.0625,0.0,0.85112464427948
0.8416553735733032,54,27,,,,,
0.8569287061691284,55,27,,,,,
,27,,0.4545854926109314,,,,
,55,27,,0.4545854926109314,,,
,55,27,,,0.1875,0.0,0.8492919206619263
0.8454239368438721,56,28,,,,,
0.8039883375167847,57,28,,,,,
,28,,0.43736791610717773,,,,
,57,28,,0.43736791610717773,,,
,57,28,,,0.1875,0.0,0.8247061371803284
0.7949469089508057,58,29,,,,,
0.8072777390480042,59,29,,,,,
,29,,0.4216586947441101,,,,
,59,29,,0.4216586947441101,,,
,59,29,,,0.125,0.0,0.8011122941970825
