csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-train_loss_epoch,csv-accuracy/exact
41,0.044008754193782806,209,,,,,
,,41,0.044500477612018585,,,,
41,,209,,0.044500477612018585,,,
41,,209,,,0.0,0.035794343799352646,0.9375
42,0.04675952345132828,210,,,,,
42,0.027616968378424644,211,,,,,
42,0.02272076904773712,212,,,,,
42,0.026861827820539474,213,,,,,
42,0.031013768166303635,214,,,,,
,,42,0.039597462862730026,,,,
42,,214,,0.039597466588020325,,,
42,,214,,,0.0,0.03099457360804081,0.9375
43,0.03522605448961258,215,,,,,
43,0.01932990550994873,216,,,,,
43,0.04181106388568878,217,,,,,
43,0.023025749251246452,218,,,,,
43,0.03455641120672226,219,,,,,
,,43,0.041320763528347015,,,,
43,,219,,0.041320767253637314,,,
43,,219,,,0.0,0.03078983724117279,0.9375
44,0.023188116028904915,220,,,,,
44,0.03907620534300804,221,,,,,
44,0.040774740278720856,222,,,,,
44,0.020908625796437263,223,,,,,
44,0.022932173684239388,224,,,,,
,,44,0.041726257652044296,,,,
44,,224,,0.041726253926754,,,
44,,224,,,0.0,0.029375970363616943,0.9583333134651184
45,0.03567522019147873,225,,,,,
45,0.014005793258547783,226,,,,,
45,0.01544790156185627,227,,,,,
45,0.04802999272942543,228,,,,,
45,0.031759750097990036,229,,,,,
,,45,0.04373019561171532,,,,
45,,229,,0.04373019561171532,,,
45,,229,,,0.0,0.02898373082280159,0.9583333134651184
46,0.022656172513961792,230,,,,,
46,0.03073836676776409,231,,,,,
46,0.015708554536104202,232,,,,,
46,0.023338887840509415,233,,,,,
46,0.04319968819618225,234,,,,,
,,46,0.04254712164402008,,,,
46,,234,,0.042547114193439484,,,
46,,234,,,0.0,0.02712833322584629,0.9791666269302368
47,0.020142825320363045,235,,,,,
47,0.04474033787846565,236,,,,,
47,0.027513982728123665,237,,,,,
47,0.03292600065469742,238,,,,,
47,0.014900755137205124,239,,,,,
,,47,0.03803732618689537,,,,
47,,239,,0.03803732618689537,,,
47,,239,,,0.0,0.02804478071630001,0.9583333134651184
48,0.022977082058787346,240,,,,,
48,0.01948581077158451,241,,,,,
48,0.02270793356001377,242,,,,,
48,0.027790721505880356,243,,,,,
48,0.041792724281549454,244,,,,,
,,48,0.039314690977334976,,,,
48,,244,,0.039314690977334976,,,
48,,244,,,0.0,0.026950854808092117,0.9791666269302368
49,0.021927839145064354,245,,,,,
49,0.03554122895002365,246,,,,,
49,0.024151703342795372,247,,,,,
49,0.020446844398975372,248,,,,,
49,0.03330143541097641,249,,,,,
,,49,0.03975376486778259,,,,
49,,249,,0.03975376859307289,,,
49,,249,,,0.0,0.02707381173968315,0.9791666269302368
50,0.023108191788196564,250,,,,,
50,0.022747211158275604,251,,,,,
50,0.010794679634273052,252,,,,,
50,0.042331352829933167,253,,,,,
50,0.029836293309926987,254,,,,,
,,50,0.03795751929283142,,,,
50,,254,,0.03795751929283142,,,
50,,254,,,0.0,0.02576354518532753,0.9791666269302368
51,0.01317590568214655,255,,,,,
51,0.029726717621088028,256,,,,,
51,0.018423767760396004,257,,,,,
51,0.035045646131038666,258,,,,,
51,0.031080590561032295,259,,,,,
,,51,0.03615504503250122,,,,
51,,259,,0.03615504875779152,,,
51,,259,,,0.0,0.025490522384643555,1.0
52,0.026556972414255142,260,,,,,
52,0.020460346713662148,261,,,,,
52,0.010200311429798603,262,,,,,
52,0.026821443811058998,263,,,,,
52,0.024604780599474907,264,,,,,
,,52,0.03660471364855766,,,,
52,,264,,0.03660471364855766,,,
52,,264,,,0.0,0.021728768944740295,0.9791666269302368
53,0.023799749091267586,265,,,,,
53,0.016666460782289505,266,,,,,
53,0.025989847257733345,267,,,,,
53,0.02967469021677971,268,,,,,
53,0.010708335787057877,269,,,,,
,,53,0.035976964980363846,,,,
53,,269,,0.035976968705654144,,,
53,,269,,,0.0,0.021367818117141724,1.0
54,0.018549233675003052,270,,,,,
54,0.017957506701350212,271,,,,,
54,0.017048344016075134,272,,,,,
54,0.016884541139006615,273,,,,,
54,0.02982250228524208,274,,,,,
,,54,0.03802413493394852,,,,
54,,274,,0.03802413493394852,,,
54,,274,,,0.0,0.02005242556333542,0.9791666269302368
55,0.026408309116959572,275,,,,,
55,0.02229808270931244,276,,,,,
55,0.020038574934005737,277,,,,,
55,0.011703223921358585,278,,,,,
55,0.01792634092271328,279,,,,,
,,55,0.035917822271585464,,,,
55,,279,,0.03591782599687576,,,
55,,279,,,0.0,0.019674906507134438,0.9791666269302368
56,0.02639995701611042,280,,,,,
56,0.012285081669688225,281,,,,,
56,0.02756141684949398,282,,,,,
56,0.01549166813492775,283,,,,,
56,0.016970908269286156,284,,,,,
,,56,0.03325774520635605,,,,
56,,284,,0.03325774520635605,,,
56,,284,,,0.0,0.019741807132959366,1.0
57,0.020718513056635857,285,,,,,
57,0.020020414143800735,286,,,,,
57,0.019982144236564636,287,,,,,
57,0.02114815078675747,288,,,,,
57,0.023225214332342148,289,,,,,
,,57,0.033314719796180725,,,,
57,,289,,0.03331471234560013,,,
57,,289,,,0.0,0.02101888507604599,1.0
58,0.015094307251274586,290,,,,,
58,0.00843398179858923,291,,,,,
58,0.027981514111161232,292,,,,,
58,0.021478140726685524,293,,,,,
58,0.009406054392457008,294,,,,,
,,58,0.03515857458114624,,,,
58,,294,,0.03515857085585594,,,
58,,294,,,0.0,0.016478799283504486,1.0
59,0.012317398563027382,295,,,,,
59,0.022415965795516968,296,,,,,
59,0.012338843196630478,297,,,,,
59,0.021763302385807037,298,,,,,
59,0.013850197196006775,299,,,,,
,,59,0.03731193020939827,,,,
59,,299,,0.03731192648410797,,,
59,,299,,,0.0,0.016537141054868698,1.0
60,0.016948901116847992,300,,,,,
60,0.013653595931828022,301,,,,,
60,0.016014402732253075,302,,,,,
60,0.011796442791819572,303,,,,,
60,0.029520131647586823,304,,,,,
,,60,0.03611167520284653,,,,
60,,304,,0.03611167520284653,,,
60,,304,,,0.0,0.01758669503033161,1.0
61,0.015255037695169449,305,,,,,
61,0.012502698227763176,306,,,,,
61,0.02277074009180069,307,,,,,
61,0.014365657232701778,308,,,,,
61,0.014086821116507053,309,,,,,
,,61,0.0323689728975296,,,,
61,,309,,0.0323689766228199,,,
61,,309,,,0.0,0.01579619012773037,1.0
62,0.022754421457648277,310,,,,,
62,0.011275979690253735,311,,,,,
62,0.01734204962849617,312,,,,,
62,0.013993141241371632,313,,,,,
62,0.010935195721685886,314,,,,,
,,62,0.029876209795475006,,,,
62,,314,,0.029876207932829857,,,
62,,314,,,0.0,0.015260158106684685,1.0
63,0.01920316182076931,315,,,,,
63,0.014532864093780518,316,,,,,
63,0.013430173508822918,317,,,,,
63,0.020001817494630814,318,,,,,
63,0.012857025489211082,319,,,,,
,,63,0.030998505651950836,,,,
63,,319,,0.030998503789305687,,,
63,,319,,,0.0,0.016005009412765503,1.0
64,0.017790229991078377,320,,,,,
64,0.014427692629396915,321,,,,,
64,0.013765624724328518,322,,,,,
64,0.00962364673614502,323,,,,,
64,0.013361562974750996,324,,,,,
,,64,0.03344026207923889,,,,
64,,324,,0.03344026580452919,,,
