step,csv-epoch,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-accuracy/exact,csv-train_loss_epoch
41,,,0.11207906156778336,,,,
125,41,,,0.11207907646894455,,,
125,41,,,,0.5416666865348816,0.4166666567325592,0.3197803199291229
126,42,0.3364236354827881,,,,,
127,42,0.31641873717308044,,,,,
128,42,0.2776113748550415,,,,,
42,,,0.10718052834272385,,,,
128,42,,,0.10718054324388504,,,
128,42,,,,0.6666666865348816,0.4166666865348816,0.31665918231010437
129,43,0.2824026048183441,,,,,
130,43,0.2993285059928894,,,,,
131,43,0.26316410303115845,,,,,
43,,,0.10451384633779526,,,,
131,43,,,0.10451384633779526,,,
131,43,,,,0.6666666269302368,0.5,0.2853252589702606
132,44,0.28786158561706543,,,,,
133,44,0.23200854659080505,,,,,
134,44,0.2814631164073944,,,,,
44,,,0.09971553832292557,,,,
134,44,,,0.09971553832292557,,,
134,44,,,,0.6666666865348816,0.4166666567325592,0.26424068212509155
135,45,0.2640622854232788,,,,,
136,45,0.28907105326652527,,,,,
137,45,0.28302642703056335,,,,,
45,,,0.09744606167078018,,,,
137,45,,,0.09744607657194138,,,
137,45,,,,0.625,0.5000000596046448,0.2778586149215698
138,46,0.2244352102279663,,,,,
139,46,0.2816789150238037,,,,,
140,46,0.3136533498764038,,,,,
46,,,0.09958970546722412,,,,
140,46,,,0.09958969801664352,,,
140,46,,,,0.7916666865348816,0.5416666865348816,0.26517629623413086
141,47,0.2608368694782257,,,,,
142,47,0.24185317754745483,,,,,
143,47,0.19303879141807556,,,,,
47,,,0.10068558901548386,,,,
143,47,,,0.10068558901548386,,,
143,47,,,,0.7916666865348816,0.5833333730697632,0.23968377709388733
144,48,0.22767505049705505,,,,,
145,48,0.2702054977416992,,,,,
146,48,0.21766307950019836,,,,,
48,,,0.09882348775863647,,,,
146,48,,,0.09882348775863647,,,
146,48,,,,0.75,0.5416666865348816,0.24268484115600586
147,49,0.21366101503372192,,,,,
148,49,0.2172510176897049,,,,,
149,49,0.23822905123233795,,,,,
49,,,0.0922430008649826,,,,
149,49,,,0.09224299341440201,,,
149,49,,,,0.7083333730697632,0.5,0.22001060843467712
150,50,0.21470043063163757,,,,,
151,50,0.23814035952091217,,,,,
152,50,0.2294791340827942,,,,,
50,,,0.09342242032289505,,,,
152,50,,,0.09342241287231445,,,
152,50,,,,0.7916666269302368,0.5833333730697632,0.2270321398973465
153,51,0.2271546870470047,,,,,
154,51,0.24259130656719208,,,,,
155,51,0.22195088863372803,,,,,
51,,,0.08986400067806244,,,,
155,51,,,0.08986399322748184,,,
155,51,,,,0.7083333730697632,0.4583333432674408,0.23228855431079865
156,52,0.2420675903558731,,,,,
157,52,0.2065555900335312,,,,,
158,52,0.18228112161159515,,,,,
52,,,0.08812399208545685,,,,
158,52,,,0.08812401443719864,,,
158,52,,,,0.7083333730697632,0.5,0.21590547263622284
159,53,0.23304542899131775,,,,,
160,53,0.19992876052856445,,,,,
161,53,0.20182491838932037,,,,,
53,,,0.08891557157039642,,,,
161,53,,,0.08891555666923523,,,
161,53,,,,0.6666666865348816,0.4583333432674408,0.21355466544628143
162,54,0.19847039878368378,,,,,
163,54,0.21816132962703705,,,,,
164,54,0.20414243638515472,,,,,
54,,,0.08737006783485413,,,,
164,54,,,0.08737006038427353,,,
164,54,,,,0.8333333730697632,0.625,0.20748117566108704
165,55,0.17876023054122925,,,,,
166,55,0.21585339307785034,,,,,
167,55,0.15657144784927368,,,,,
55,,,0.08840111643075943,,,,
167,55,,,0.08840111643075943,,,
167,55,,,,0.7916666269302368,0.5833333730697632,0.18915973603725433
168,56,0.18285392224788666,,,,,
169,56,0.19555926322937012,,,,,
170,56,0.18900629878044128,,,,,
56,,,0.08878631889820099,,,,
170,56,,,0.08878631144762039,,,
170,56,,,,0.7916666269302368,0.625,0.18916653096675873
171,57,0.21844491362571716,,,,,
172,57,0.18402083218097687,,,,,
173,57,0.1600276380777359,,,,,
57,,,0.08365167677402496,,,,
173,57,,,0.08365166932344437,,,
173,57,,,,0.8333333730697632,0.5833333134651184,0.19299182295799255
174,58,0.2072306126356125,,,,,
175,58,0.1814388930797577,,,,,
176,58,0.20521946251392365,,,,,
58,,,0.09602393954992294,,,,
176,58,,,0.09602395445108414,,,
176,58,,,,0.7916666269302368,0.5833333730697632,0.19651168584823608
177,59,0.2083350121974945,,,,,
178,59,0.16766893863677979,,,,,
179,59,0.14701510965824127,,,,,
59,,,0.09119301289319992,,,,
179,59,,,0.09119302034378052,,,
179,59,,,,0.7916666269302368,0.5833333730697632,0.17980459332466125
180,60,0.19003701210021973,,,,,
181,60,0.1721252202987671,,,,,
182,60,0.2258167415857315,,,,,
60,,,0.09229480475187302,,,,
182,60,,,0.09229478985071182,,,
182,60,,,,0.875,0.5833333134651184,0.19002823531627655
183,61,0.2043190896511078,,,,,
184,61,0.15602652728557587,,,,,
185,61,0.1239405944943428,,,,,
61,,,0.09600834548473358,,,,
185,61,,,0.09600833058357239,,,
185,61,,,,0.7083333134651184,0.5416666865348816,0.16892635822296143
186,62,0.15789015591144562,,,,,
187,62,0.15882886946201324,,,,,
188,62,0.17781038582324982,,,,,
62,,,0.10255344212055206,,,,
188,62,,,0.10255343466997147,,,
188,62,,,,0.625,0.4583333432674408,0.16224968433380127
