csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-train_loss_epoch,csv-accuracy/exact
13,270,0.04174193739891052,,,,,
13,271,0.10526776313781738,,,,,
13,272,0.05183558166027069,,,,,
13,273,0.01180141419172287,,,,,
13,274,0.09365006536245346,,,,,
13,275,0.09526003152132034,,,,,
13,276,0.09043166786432266,,,,,
13,277,0.0664883404970169,,,,,
13,278,0.1108667179942131,,,,,
13,279,0.08888456970453262,,,,,
,260,,0.10495983064174652,,,,
,261,,0.001089565921574831,,,,
,262,,0.05076684057712555,,,,
,263,,0.0075731961987912655,,,,
,264,,0.027066394686698914,,,,
,265,,0.052955079823732376,,,,
,266,,0.040628910064697266,,,,
,267,,0.043138690292835236,,,,
,268,,0.06915576756000519,,,,
,269,,0.128318190574646,,,,
,270,,0.1188054233789444,,,,
,271,,0.013710510917007923,,,,
,272,,0.060760848224163055,,,,
,273,,0.07827553898096085,,,,
,274,,0.043466199189424515,,,,
,275,,0.08202385902404785,,,,
,276,,0.04464927315711975,,,,
,277,,0.011247735470533371,,,,
,278,,0.025858178734779358,,,,
,279,,0.054727695882320404,,,,
13,279,,,0.052958887070417404,,,
13,279,,,,0.9312499761581421,0.08913110941648483,0.737500011920929
14,280,0.029136471450328827,,,,,
14,281,0.0344141349196434,,,,,
14,282,0.15536059439182281,,,,,
14,283,0.04026895388960838,,,,,
14,284,0.06232324242591858,,,,,
14,285,0.15533389151096344,,,,,
14,286,0.10843389481306076,,,,,
14,287,0.2029912918806076,,,,,
14,288,0.11687140166759491,,,,,
14,289,0.06012389436364174,,,,,
14,290,0.08495253324508667,,,,,
14,291,0.01482068095356226,,,,,
14,292,0.009386042132973671,,,,,
14,293,0.022526614367961884,,,,,
14,294,0.04692748561501503,,,,,
14,295,0.047774773091077805,,,,,
14,296,0.05647597089409828,,,,,
14,297,0.1827521026134491,,,,,
14,298,0.016181083396077156,,,,,
14,299,0.05584943667054176,,,,,
,280,,0.1071508377790451,,,,
,281,,0.00037571636494249105,,,,
,282,,0.03294600918889046,,,,
,283,,0.0011786021059378982,,,,
,284,,0.022912615910172462,,,,
,285,,0.031029950827360153,,,,
,286,,0.023195873945951462,,,,
,287,,0.038748566061258316,,,,
,288,,0.060545340180397034,,,,
,289,,0.10928064584732056,,,,
,290,,0.10745172202587128,,,,
,291,,0.01142861321568489,,,,
,292,,0.04334660992026329,,,,
,293,,0.06734917312860489,,,,
,294,,0.035640593618154526,,,,
,295,,0.06828705966472626,,,,
,296,,0.0343693308532238,,,,
,297,,0.00930848065763712,,,,
,298,,0.024430913850665092,,,,
,299,,0.03300730884075165,,,,
14,299,,,0.04309920221567154,,,
14,299,,,,0.9312499761581421,0.08103203773498535,0.731249988079071
15,300,0.010191425681114197,,,,,
15,301,0.03198102116584778,,,,,
15,302,0.13614748418331146,,,,,
15,303,0.078622967004776,,,,,
15,304,0.20111863315105438,,,,,
15,305,0.027772223576903343,,,,,
15,306,0.16863352060317993,,,,,
15,307,0.06433902680873871,,,,,
15,308,0.16532891988754272,,,,,
15,309,0.0866793543100357,,,,,
15,310,0.2820016145706177,,,,,
15,311,0.06990581750869751,,,,,
15,312,0.11567799746990204,,,,,
15,313,0.12382674962282181,,,,,
15,314,0.03403928875923157,,,,,
15,315,0.03974009305238724,,,,,
15,316,0.11851885169744492,,,,,
15,317,0.005162912420928478,,,,,
15,318,0.08590954542160034,,,,,
15,319,0.013481575064361095,,,,,
,300,,0.09957881271839142,,,,
,301,,3.262207246734761e-05,,,,
,302,,0.03103959932923317,,,,
,303,,0.0002428866719128564,,,,
,304,,0.01943132095038891,,,,
,305,,0.02045629918575287,,,,
,306,,0.0178915373980999,,,,
,307,,0.04562726616859436,,,,
,308,,0.06472308933734894,,,,
,309,,0.10741692781448364,,,,
,310,,0.10116744041442871,,,,
,311,,0.010100631974637508,,,,
,312,,0.040184225887060165,,,,
,313,,0.06124962121248245,,,,
,314,,0.03635244444012642,,,,
,315,,0.06551267206668854,,,,
,316,,0.02722988836467266,,,,
,317,,0.006908345967531204,,,,
,318,,0.021398261189460754,,,,
,319,,0.02189878560602665,,,,
15,319,,,0.03992213308811188,,,
15,319,,,,0.9312499761581421,0.07261620461940765,0.75
16,320,0.045450083911418915,,,,,
16,321,0.12755544483661652,,,,,
16,322,0.017488325014710426,,,,,
16,323,0.06037434563040733,,,,,
16,324,0.05631590634584427,,,,,
16,325,0.03994468227028847,,,,,
16,326,0.016175948083400726,,,,,
16,327,0.06651509553194046,,,,,
16,328,0.049044836312532425,,,,,
16,329,0.016870755702257156,,,,,
16,330,0.039391107857227325,,,,,
16,331,0.1490737646818161,,,,,
16,332,0.15298926830291748,,,,,
16,333,0.00740487826988101,,,,,
16,334,0.18492943048477173,,,,,
16,335,0.0771862119436264,,,,,
16,336,0.031306229531764984,,,,,
16,337,0.10495004802942276,,,,,
16,338,0.04496617615222931,,,,,
16,339,0.08149810135364532,,,,,
,320,,0.09881886839866638,,,,
,321,,3.436810948187485e-05,,,,
,322,,0.018733782693743706,,,,
,323,,0.0001393889106111601,,,,
,324,,0.02088579721748829,,,,
,325,,0.009543136693537235,,,,
,326,,0.012586686760187149,,,,
,327,,0.042041052132844925,,,,
,328,,0.04749264195561409,,,,
,329,,0.1011333018541336,,,,
,330,,0.09414223581552505,,,,
,331,,0.013101670891046524,,,,
,332,,0.03734568879008293,,,,
,333,,0.05446327105164528,,,,
,334,,0.032758548855781555,,,,
,335,,0.05589725822210312,,,,
,336,,0.02316763997077942,,,,
,337,,0.0070319585502147675,,,,
,338,,0.025140944868326187,,,,
,339,,0.016639944165945053,,,,
16,339,,,0.0355549082159996,,,
16,339,,,,0.956250011920929,0.06971260905265808,0.7875000238418579
17,340,0.008631918579339981,,,,,
17,341,0.09204831719398499,,,,,
17,342,0.04631480947136879,,,,,
17,343,0.053362879902124405,,,,,
17,344,0.05493231490254402,,,,,
17,345,0.12342594563961029,,,,,
17,346,0.1423400640487671,,,,,
17,347,0.0328080914914608,,,,,
17,348,0.13403278589248657,,,,,
17,349,0.020861707627773285,,,,,
17,350,0.1920255869626999,,,,,
17,351,0.09101041406393051,,,,,
17,352,0.2095206379890442,,,,,
17,353,0.17954954504966736,,,,,
17,354,0.1149825006723404,,,,,
17,355,0.09788325428962708,,,,,
17,356,0.03639863803982735,,,,,
17,357,0.0859985277056694,,,,,
17,358,0.12272137403488159,,,,,
17,359,0.027337664738297462,,,,,
,340,,0.08946086466312408,,,,
,341,,6.428310734918341e-05,,,,
,342,,0.02401699684560299,,,,
,343,,0.0001475741883041337,,,,
,344,,0.019829561933875084,,,,
,345,,0.009665273129940033,,,,
,346,,0.011640598066151142,,,,
,347,,0.0465148501098156,,,,
,348,,0.05831064283847809,,,,
,349,,0.09534798562526703,,,,
,350,,0.09013345837593079,,,,
,351,,0.01040603406727314,,,,
,352,,0.03803188353776932,,,,
,353,,0.05482201278209686,,,,
,354,,0.03394293412566185,,,,
,355,,0.057319026440382004,,,,
,356,,0.022733235731720924,,,,
,357,,0.008490867912769318,,,,
,358,,0.042450957000255585,,,,
,359,,0.015456202439963818,,,,
17,359,,,0.036439262330532074,,,
17,359,,,,0.956250011920929,0.07122325897216797,0.800000011920929
18,360,0.09916076809167862,,,,,
18,361,0.025990892201662064,,,,,
18,362,0.19405551254749298,,,,,
18,363,0.0402226485311985,,,,,
18,364,0.06818004697561264,,,,,
18,365,0.13346578180789948,,,,,
18,366,0.14880742132663727,,,,,
18,367,0.013108831830322742,,,,,
18,368,0.11386433988809586,,,,,
18,369,0.14254043996334076,,,,,
18,370,0.0026613043155521154,,,,,
18,371,0.005000332370400429,,,,,
18,372,0.0424586646258831,,,,,
18,373,0.05142968147993088,,,,,
18,374,0.09429081529378891,,,,,
18,375,0.09000405669212341,,,,,
