csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-accuracy/validator,csv-train_loss_epoch
,48,146,,0.026161814108490944,,,
,48,146,,,0.7916666269302368,0.0,0.06065269187092781
0.06609700620174408,49,147,,,,,
0.061692237854003906,49,148,,,,,
0.06639006733894348,49,149,,,,,
,,49,0.02564842998981476,,,,
,49,149,,0.02564842998981476,,,
,49,149,,,0.8333333134651184,0.0,0.06439371407032013
0.05646500736474991,50,150,,,,,
0.05671170353889465,50,151,,,,,
0.06883266568183899,50,152,,,,,
,,50,0.025008445605635643,,,,
,50,152,,0.025008441880345345,,,
,50,152,,,0.8333333134651184,0.0,0.0590372160077095
0.0464482456445694,51,153,,,,,
0.048738956451416016,51,154,,,,,
0.0793246179819107,51,155,,,,,
,,51,0.024980561807751656,,,,
,51,155,,0.024980561807751656,,,
,51,155,,,0.8333333134651184,0.0,0.053939808160066605
0.06023561209440231,52,156,,,,,
0.053504470735788345,52,157,,,,,
0.03514602780342102,52,158,,,,,
,,52,0.025343850255012512,,,,
,52,158,,0.02534385584294796,,,
,52,158,,,0.8333333134651184,0.0,0.05252524092793465
0.0632350817322731,53,159,,,,,
0.05140673741698265,53,160,,,,,
0.03002975881099701,53,161,,,,,
,,53,0.0251415204256773,,,,
,53,161,,0.0251415204256773,,,
,53,161,,,0.8333333134651184,0.0,0.0518626794219017
0.05483167618513107,54,162,,,,,
0.07835456728935242,54,163,,,,,
0.03754590451717377,54,164,,,,,
,,54,0.024016153067350388,,,,
,54,164,,0.024016154929995537,,,
,54,164,,,0.8333333134651184,0.0,0.06078367680311203
0.05149540677666664,55,165,,,,,
0.06788405030965805,55,166,,,,,
0.03848118707537651,55,167,,,,,
,,55,0.023440197110176086,,,,
,55,167,,0.023440197110176086,,,
,55,167,,,0.8333333134651184,0.0,0.055448018014431
0.05504069849848747,56,168,,,,,
0.05048510804772377,56,169,,,,,
0.04456625506281853,56,170,,,,,
,,56,0.02347753196954727,,,,
,56,170,,0.02347753196954727,,,
,56,170,,,0.8749999403953552,0.0,0.05112357810139656
0.0447252094745636,57,171,,,,,
0.07031331211328506,57,172,,,,,
0.03138144686818123,57,173,,,,,
,,57,0.023616008460521698,,,,
,57,173,,0.023616008460521698,,,
,57,173,,,0.8333333134651184,0.0,0.05229170247912407
0.049687713384628296,58,174,,,,,
0.0537315234541893,58,175,,,,,
0.04268631711602211,58,176,,,,,
,,58,0.024003930389881134,,,,
,58,176,,0.024003928527235985,,,
,58,176,,,0.7083333134651184,0.0,0.049904964864254
0.04379799962043762,59,177,,,,,
0.04166862368583679,59,178,,,,,
0.06479978561401367,59,179,,,,,
,,59,0.0238114632666111,,,,
,59,179,,0.02381146512925625,,,
,59,179,,,0.7916666269302368,0.0,0.04714660719037056
0.04287833720445633,60,180,,,,,
0.039950594305992126,60,181,,,,,
0.07408561557531357,60,182,,,,,
,,60,0.023352786898612976,,,,
,60,182,,0.023352785035967827,,,
